Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción
Beckman Coulter Diagnostics,Business Analyst & DBS (M/F),"Hospitalet de Llobregat, Cataluña, España",Publicado hace hace 1 semana,313 visualizaciones,"Danaher Corporation and all Danaher Companies are equal opportunity employers that evaluate qualified applicants without regard to race, color, national origin, religion, sex, age, marital status, disability, veteran status, sexual orientation, gender identity, or other characteristics protected by law. The “EEO is the Law” poster is available here.",Servicios médicos,Jornada completa,Desarrollo empresarial Ventas,"Your mission will be to:

Provide relevant data to the internal commercial network to empower and support the correct customer relationship management, sales performance control and contracts profitability follow-ups in compliance with the company internal policies, as well as meaningful and proper on-time-in-full analysis for regional and EU business decision makers

You will be responsible for:

Data Analysis and Modeling: Incorporate multiple data sources and methodologies to identify commercially relevant information and transform into sales insights. Evangelize the follow-up of key performance indicators (both leading and lagging)
Data Exploration, Visualization, and Dashboarding: Identify trends and drivers, perform exploratory data analysis and present views that will provide visibility into our performance
Policy deployment: support local leaders on the deployment and sustainment of business strategy, as well as the proper activation and follow-up of problem-solving processes to identify root-causes and countermeasures on systematic deviations
Map and improve existing processes (including but not limited to sales budget and forecast reviews, predictive sales models, sales target setting/achievements, etc.). Support development and deployment of daily management frameworks and business problem-solving process. Identify non-field related activities and create tools and frameworks that will help Sales Force and non-sales-related Leaders to reduce waste on their processes and activities
Incentive Plan strategy: be the local voice to drive incentive plan design and recommendations, collect feedback from commercial teams, influence key stakeholders. Develop and support relevant activities for the calculation and approval Sales Incentives
CRM and BI gatekeeper: own CRM-related processes, be able to identify required areas of education that will help to improve the efficiency of CRM usage and data quality. Ensure correct level of access. Provide trainings and guarantee adherence to the global Standard of Work. Partner with Global IT and Sales Enablement team for new implementations and provide support in UAT waves in compliance with business requirements. Be the key representative member of local BI and SW in European BI forums acting as Subject Matter Expert of local reporting processes
Pricing: Support the development of processes and methods for price setting and price getting. Maintain local CPQ (Configuration, Pricing, Quoting) solutions and be able to develop new if required. Support the preparation of an offer to the customer with special focus on profitability

Required skills:

We are looking for candidates with the following skills and experience:

B.Sc./M.Sc. in Business, Mathematics, Statistics, Computer Science, Engineering, Economics or related field.
Proficient in data modeling in Microsoft Excel (including VBA scripting) and Access
Experience with BI tool (e.g., Power BI) and SQL is a plus
Experience in Sales Operations preferably in Sanitary/Pharmaceutical Sector is a plus
Proficient in English and Spanish (spoken and written) is a must. Portuguese is a plus.

Soft skills:

Excellent problem-solving skills with ability to dis-aggregate issues, identify root causes, identify potential improvements and recommend solutions in daily operations and translate it into workable solutions.
Detail-oriented and with ability to work under pressure. Logical, Rigorous and disciplined approach.
Flexibility, patience, and an understanding of fluid, demanding, and unstructured environments where priorities evolve constantly, capable to effectively deal with uncertainty and ambiguity
Entrepreneurial and proactively thinking about potential improvements to how things are done
Exposure by experience to Lean Change Management Models is a plus

Danaher Corporation and all Danaher Companies are equal opportunity employers that evaluate qualified applicants without regard to race, color, national origin, religion, sex, age, marital status, disability, veteran status, sexual orientation, gender identity, or other characteristics protected by law. The “EEO is the Law” poster is available here.
Sector
Servicios médicos
Tipo de empleo
Jornada completa
Funciones laborales
Desarrollo empresarial Ventas"
Conexus,Data Science Lead,"Barcelona, Cataluña, España",Publicado hace hace 1 semana,336 visualizaciones,Intermedio,Dotación y selección de personal,Jornada completa,Tecnología de la información,"Conexus are currently working exclusively with a global client who are looking for a Data Science Lead to join their team in Barcelona on a permanent basis.
 We are searching for the following skills / experience:
At least 4 years of experience working as a Data Scientist / Data Analyst
Excellent experience working with Python or R
Excellent experience working with SQL
Strong experience working with CRM systems
Experience working with AB Testing is highly desirable
Exposure to cloud systems (AWS preferred)
Background within Mathematics, Physics, Statistics or Computer Science
Excellent stakeholder management and communication skills
Fluency in English is mandatory
 If this position would be of interest to you or anyone else within your network, please follow the link to apply.
Nivel de experiencia
Intermedio
Sector
Dotación y selección de personal
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Markem-Imaje,Global Quality Data Scientist,"Barcelona, Cataluña, España",Publicado hace hace 1 mes,710 visualizaciones,Algo de responsabilidad,Automación industrial,Jornada completa,Tecnología de la información Análisis Ingeniería,"Are you a specialist in data analysis with extensive experience in collecting, transforming and analyzing data as well as communicating findings across the organization?

In this role, you’ll be… Pivotal in the execution of a three years roadmap to achieve a more preventive, customer focused and data driven Quality approach at Markem-Imaje. This role will specifically focus on Data Analytics and statistical analysis related to Product, Service, Process quality and performance and will be influential in improving those. This position is reporting directly to the Global Quality Shared Services Manager.
You’ll have an opportunity to… work in a cross-functional environment, partnering closely on all levels of the organization to ultimately improve the quality and performance of our products, services and processes using your data analysis, machine learning-based tools and IT skills.
You should possess… a passion for leveraging data to drive decision making across the business and be a forward-thinking individual to look beyond the immediate.

Great package including bonus, career growth and great benefits.

Principal Activities / Duties / Responsibilities:

You will be responsible for managing, extracting, transforming, reporting and visualizing data from a wide variety of sources as it relates to the performance of our products, services and key business processes. Your main responsibilities will include:
•Exploring any and all available data for extraction, transformation, analysis and visualization, incl. proposing new ideas and solutions.
•Design, development, maintenance and improvement of processes and tools for managing, extracting, transforming, reporting and visualization of data.
•Development and maintenance of tools aimed at automation of existing processes and data bases.
•Working closely with end users to translate requirements into data-driven applications and data visualization solutions (e.g. reporting and dashboards).
•Transforming data into value: communicating findings and recommended actions across the entire company in an international environment.

Experience & General Skills:   
•Minimum 5 years of experience in a similar role including experience as Data analyst.
•Bachelor’s degree in business, Science or Engineering/University degree in Data Analysis.
•Mastering programming tools such as SQL, PL/SQL, Python or R.
•Master Excel at an advanced level with Visual Basic. Experience on Power BI is a plus.
•Fluent in written and spoken English.
•Excellent written and verbal communication and the ability to present data to all levels in the organization.
•SAP CS/SD/MM and Lean Six Sigma certification are a plus.
•Independent, quick learner with a very structured approach.
Nivel de experiencia
Algo de responsabilidad
Sector
Automación industrial
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información Análisis Ingeniería"
Michael Page,IT Business Analyst,"Madrid, Comunidad de Madrid, España",Publicado hace hace 1 mes,161 visualizaciones,Algo de responsabilidad,Servicios financieros,Jornada completa,Desarrollo empresarial Ventas,"IT Business Analyst
Multinational final Company
Business Analyst (SQL experienced)

About Our Client

Multinational Financial Company

Job Description

The IT Business Analyst insures all activities related to back office systems conception, configuration, implementations and support in our subsidiaries. He/she takes part in projects, from first user's requirements analysis till the deployment of the solution. He/she will contributes to support and maintenance projects, within International or subsidiaries, to conduct specific studies or implement project methods.
The IT Business Analyst ensures the coordination of activities between users, project manager, IT developers and other technical specialist:
He/she helps defining business requirements with the users
He/she draws up the target processes
He/she documents users requirements and functional specifications
He/she is able to configure the core system after an appropriate training program.
He/she takes part in the functional review of solutions, proposed by IT
He/she takes part in the definition of migration scenarios
He/she takes part in or coordinates the user acceptance tests
He/she coordinates development requests made by users
When necessary and depending on the project, the IT Business Analyst takes part in the project management in relationship with project managers:
He/she prepares and conducts workshops (including in some cases representatives from several countries or entities)
He/she prepares and conducts project meetings (follow up meetings)
He/she implements and updates necessary project office tools - ie : Plannings and Budgets
He/she prepares and takes part in the actions of communication and training
The IT business analyst reports to the Project Manager

The Successful Applicant

The IT Business Analyst Will Have
Experience in business requirements collection and IT specifications
Experience in integrated software, web systems, .Net platforms
Excellent SQL skills
Ability to learn the applications and conduct detailed testing
Good communication and organization skills, ability to synthesize
Ability to join a project team composed of internal resources and external consultants spread in many countries
Ability to lead meetings and user groups workshops
Excellent proficiency in English is a prerequisite

What's On Offer

Interesting professional opportunity

Contact: Maria Mosquera
Quote job ref: 324677
Nivel de experiencia
Algo de responsabilidad
Sector
Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Desarrollo empresarial Ventas"
Agoda,"Lead Data Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Madrid, Comunidad de Madrid, España",Publicado hace hace 1 semana,80 visualizaciones,Intermedio,Internet,Jornada completa,Tecnología de la información,"About Agoda

Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world.

Get To Know Our Team

Partner Development is a team of creative entrepreneurs that develop solutions for Agoda’s accommodation partners and promote Agoda’s top and bottom line growth. We design tailored business and product solutions with our partners and help them generate measurable value. Members of our team are empowered and supported to grow their market(s) or accounts. We develop win-win relationships and leverage Agoda’s unique accommodations portfolio and tech solutions to bring our partners the advantages they seek. Utilizing our strong brand and resources, we roll out new product to increase the visibility of Agoda, introduce more travelers to our great products and service and deliver significant revenues to the overall business.

In this role you’ll get to

This role is designed to mainly growth opportunity identification among mid to long tail hotels, experiment execution and data tracking within Partner Development team for the global teams. You will get to work directly with the regional team to design and put in place global experimentation and initiatives to drive tangible impact in each market.

Key Activities Involved Include But Not Limit To
Apply your expertise in quantitative analysis, data mining, and the presentation of data to identify opportunities for business improvements and support your recommendations
Own end-to-end project or roll out new experiments to validate in-market impact of an initiative within Partner Development
Build dashboards, identify new and track key metrics to closely monitor team’s performance and identify quick and long term opportunities for improvements
Work closely with cross-functional teams of analysts, regional team leads, product managers and business owners to drive changes based on opportunities identified
Support global Partner Development related initiatives, including experimentation infrastructure-building and methodology standardization


What You’ll Need To Succeed
Bachelor’s degree in science, computer science, statistics, economics, mathematics, or similar quantitative discipline
Minimum 8 -year experience working in a business analysis, data analysis, reporting or business strategy role
Excellent problem-solving skills including the ability to analyze and resolve complex problems using data
Team player with strong interpersonal, relationship-building, and stakeholder management skills
Coding skills for analytics and data manipulation (SQL, R, Python, Pandas, Scala)
Data visualization tool experience such as with Tableau or your weapon of choice.
Ability to work under pressure in a fast-paced and rapidly changing environment
Excellent communication skills (both verbal and written in English), with proven ability to convey complex messages clearly and with conviction

#TH #ANLS #PDE #4

#STRA #ANLS #MRKT #3 #hongkong #kualalumpur #mumbai #newdelhi #delhi #bangalore #hochiminh #jakarta #manila #hongkong #beijing #toronto #vancouver #berlin #paris #barcelona #london #madrid #bangkok data representation data analysis SQL data analytics analytics python (programming language) data mining data science r (programming language) tableau analytical skills data visualization databases business analysis business intelligence (bi) microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas (software) artificial intelligence (ai) information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscanner

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file in accordance with our privacy policy so that we can consider you for future vacancies. You can always ask to have your details removed from the file by contacting us at [email protected]

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.

Nivel de experiencia
Intermedio
Sector
Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Accenture España,Big Data Analyst - Sevilla,"Sevilla, Andalucía, España",Publicado hace hace 1 semana,3998 visualizaciones,Intermedio,Servicios y tecnologías de la información Software Telecomunicaciones,Jornada completa,Tecnología de la información Ingeniería,"Esta es tu oportunidad para unirte a un equipo diverso de personas apasionadas por el Big Data.

En buenas manos ¡las tuyas! las enormes cantidades de información que las empresas recopilan hoy pueden convertirse en un activo muy valioso manejadas estratégicamente. Ayudamos a nuestros clientes a ser más eficientes haciendo el mejor uso posible de los datos, aprovechados por los expertos para impulsar un nuevo motor de crecimiento de servicios de información.

Si te gusta aprender y disfrutas de una gran pasión por trabajar con nuevas tecnologías además de ayudar a los clientes a administrar los datos de manera efectiva para generar conocimiento y valor, este es tu sitio. Estamos buscando desarrolladores en Accenture, el lugar perfecto para continuar construyendo tu carrera. Nuestro equipo está creciendo por lo que siempre estamos atentos a nuevo talento como el tuyo. Las oportunidades dentro de las emocionantes iniciativas en el entorno digital que llevamos a cabo con nuestros clientes son ilimitadas, por tanto no te faltarán inspiración o desafíos.

Algunas de tus responsabilidades:


Desarrollo de software usando tecnologías Big Data

Formar parte de equipos multidisciplinares

Participación en proyectos para grandes clientes


¿Te unes al Big Data | Accenture Technology team? ¡Aplica online!

#BigDataNinja

Requisitos:


Titulación técnica: Informática u otras con experiencia equivalente (Telecomunicaciones, Matemáticas, Física, otras ingenierías, etc.)

+2 años de experiencia real en producción con tecnologías Big Data (Spark, Hive, Kafka, Flink, etc.)

Alguna/varias bases de datos NoSQL (MongoDB, HBase, ElasticSearch, Cassandra, etc.)

Herramientas Agile (Jira, Jenkins, Bamboo, Git, Sonar, etc.)


Valorable:


Experiencia en AWS o Azure

Certificaciones en AWS, Azure o Big Data (Cloudera, Databricks, MongoDB, Kafka, etc.)

Experiencia en proyectos para grandes clientes


Accenture ofrece igualdad de oportunidades y acepta solicitudes de todos los sectores de la sociedad y no discrimina por motivos de raza, religión o creencias, origen étnico o nacional, discapacidad, edad, ciudadanía, estado civil, orientación sexual o Identidad de género, o cualquier otra base según lo protegido por la ley vigente.
Nivel de experiencia
Intermedio
Sector
Servicios y tecnologías de la información Software Telecomunicaciones
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información Ingeniería"
Banco Santander,Fraud Risk Senior Analyst I - Riesgos,"Boadilla del Monte, Comunidad de Madrid, España",Publicado hace hace 2 meses,790 visualizaciones,Algo de responsabilidad,Dotación y selección de personal Banca Servicios financieros,Jornada completa,Finanzas Ventas,"RIESGOS está buscando un FRAUD RISK SR. ANALYST para nuestras oficinas en BOADILLA DEL MONTE (HEADQUARTERS).

POR QUÉ DEBERÍAS CONSIDERAR ESTA OPORTUNIDAD

¿Te gustaría ser parte de una de las mayores transformaciones que el mundo está experimentando en las últimas décadas? En el sector financiero, las expectativas y los comportamientos de los consumidores están cambiando de manera acelerada; en paralelo, los avances tecnológicos están permitiendo mejorar la experiencia de los clientes y crear nuevas plataformas y negocios que antes eran impensables.

En Santander (www.santander.com) somos actores principales de esta transformación.

Nuestra misión es contribuir para ayudar al progreso de las personas y los negocios. Mejor que contarlo con palabras, puedes hacer click en este enlace Por qué Santander y acceder a un vídeo en el que contamos por qué la banca puede ser una extraordinaria opción profesional para desarrollarte.

Santander se enorgullece de ser una organización donde hay igualdad de oportunidades, independientemente de raza, sexo, religión, edad, orientación sexual, estado civil discapacidad, nacionalidad o identidad de género.

QUÉ HARÁS EN TU TRABAJO

Como Fraud Risk Senior Analyst participarás en el desarrollo e implantación del modelo de control y gestión del cambio, que permita mitigar los riesgos de fraude vinculados a grandes procesos de transformación, integraciones, implantaciones tecnológicas, estructuraciones organizativas, etc.

Necesitamos a alguien como tú para que nos ayude en distintos ámbitos:
Evolución e implementación del Target Operating Model de fraude en las entidades del grupo.
Definición de métricas de seguimiento.
Participación en otras actividades de control del área:
Identificación y análisis de los principales riesgos y sus controles, incluyendo la identificación y seguimiento de indicadores de riesgo.
Elaboración de reporting sobre exposición y nivel de riesgo
Challenge sobre los aspectos/tipologías de fraude que requieren mitigación a nivel local y seguimiento de sus acciones mitigantes

Qualifications

QUÉ BUSCAMOS

EXPERIENCIA
+5 en puestos relacionados con auditoria, control y/o consultoría de riesgos en ámbitos de tecnología, operaciones, procesos.

EDUCACIÓN

Requerido
Licenciaturas/Ingenierías Informática, Telecomunicaciones, Industrial, Física, Matemáticas, Administración y Dirección de Empresas.
HABILIDADES & CONOCIMIENTOS

Requerido
Inglés (nivel alto)
Gestión del riesgo de fraude.
Participación en procesos de gestión del cambio.
Participación en procesos de innovación y/o digitalización.
Persona organizada, autónoma y con perfil de gestión. Valorable conocimientos en procesos de negocio bancario y en gestión de riesgo. Recomendable experiencia en gestión de proyectos (Project Managament) y/o monitoreo de proyectos.
Deseable
Conocimientos de Portugués
QUÉ OFRECEMOS

Estos Son Los Factores Clave Que Multiplican Las Acciones De Todos Nuestros Empleados

Bienvenido al #TheSantanderEffect. En Santander solo con una pequeña acción o una idea sencilla, puedes hacer grandes cosas. Te ofrecemos las ventajas y los medios para contribuir al progreso de más de 140 millones de personas en el mundo.
Impacto significativo – Donde el efecto de tu trabajo marca la diferencia y ayuda a las personas y a los negocios a prosperar.
Crecimiento personal y profesional – Oportunidad de desarrollarte con formación a nivel mundial, trabajo retador y roles distintos.
Respeto – Ser parte de una organización que se preocupa – por las personas, por su amplia comunidad, y por el medioambiente.
Compañeros de trabajo de calidad – Trabajar con profesionales inspiradores que son líderes en su campo.
Estabilidad global – Trabajar para una sólida organización que se ha reinventado satisfactoriamente en varias ocasiones a lo largo de sus 160 años de historia.

Si quieres conocer más sobre nosotros, síguenos en https://es.linkedin.com/company/banco-santander
Nivel de experiencia
Algo de responsabilidad
Sector
Dotación y selección de personal Banca Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Finanzas Ventas"
Thycotic,Partner Alliances Manager - Iberia and Italy,"Madrid, Comunidad de Madrid, España",Publicado hace hace 1 semana,556 visualizaciones,Algo de responsabilidad,Servicios y tecnologías de la información Software Seguridad del ordenador y de las redes,Jornada completa,Desarrollo empresarial Ventas,"Thycotic is a global leader in Privileged Access Management, a critical layer of IT security that protects an organization’s data, devices and code across cloud, on-premise and hybrid environments. Recognized as a leader by every major industry analyst group, our modern cloud-ready PAM solutions dramatically reduce the complexity and cost of securing privileged access, providing more value and higher adoption than any alternative. Thycotic is trusted by over 12,500 leading organizations around the globe including 25% of the Fortune 100.

Position Summary

Build, develop and manage a “Named” partner base to reach specific channel generated revenue targets as well as overall revenue targets within assigned partner accounts.
Take full ownership of “Named” partners, building relationships within the account that span various departments, from C-Level to sales floor. Involve the various Thycotic counterparts to strengthen relationships.
Translate regional objectives and strategies into KPIs and a detailed plan that supports both regional and partner specific goals, taking executive ownership.
Create and own GAP plans for region / for each Key Partner if required
Drive revenue generation and closure with the partner ecosystem. Be in full pipeline control, collaborate closely with regional sales teams to win
Support partner at end user meetings, either alone or in collaboration with sellers
Own complete partnership journey, from recruitment, on-boarding, business planning through to an active and committed partnership with regular enablement
Serve as the partnership and MSP advocate inside Thycotic; evangelize partners and the opportunities they present by injecting partner DNA into Thycotic sales
Develop an intimate knowledge of the ins and outs of the Thycotic MSP Go-To-Market strategy as well as partner program. Utilize this to build repeat business and create tailored value propositions when engaging with partners
Represent both the voice of the “Key” partners to Thycotic and the voice of Thycotic to “Key” partners as required to resolve issues and attain revenue
Collaborate with Thycotic`s marketing team to create quarterly activity plan for demand generation via “Key” Partnerships and assume responsibility for execution of agreed activities
Keep Salesforce.com up to date with accurate and regular opportunity updates, Alliance business planning information and meeting notes

Skills And Requirements
A business leader who can influence and build strong relationships with decision makers across all levels of partner and prospect organizations. Comfortable at C-Level as much as enjoying hands-on sales conversations with sellers and prospects.
3+ years of experience in developing Strategic Alliance relationships within a Cyber Security business. Existing relationships with GSIs, large SIs and Advisory partners is key.
Proven experience of business development via partnerships, successfully implementing channel/field alliances strategy to drive increased sales
Successful track record in meeting and exceeding business development and partner growth goals as well as increasing opportunity value in collaboration with partners
Proven experience in building a strategic partnership network in region
Strong time management skills in dynamic and fast paced sales environment
Excellent communication skills: written and spoken
Excellent English language skills: written and spoken
Strong organizational and planning skills
Strong coordination skills: Must be able to work well with others as part of a team
Strong relationship building, listening and follow through abilities
Brings a positive attitude to the team with a focus on solving challenges to achieve the best result for all involved
Used to having an ‘entrepreneurial’ mindset whilst being able to see the market opportunity, take the initiative and get things done
Understands how to successfully build and manage a channel pipeline and forecast accurately

Why Work at Thycotic?

We’re passionate problem-solvers doing our part to make the world a safer place. We invest in people who are smart, self-motivated and collaborative.

What we offer in return is meaningful work, a culture of innovation and great career progression!

Thycotic was named a “Best Places to Work” Award Winner in 2019 and 2020 in recognition of our positive work environment and culture, as reported by employees. A focus on employee advancement and our ethos of respect are just some of the reasons why people love working here!

Thycotic Software, LLC (Thycotic) is an Equal Opportunity and Affirmative Action employer and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

Upon conditional offer of employment, candidates are required to complete a criminal background check and drug screen per Thycotic employment policy. In addition, all publicly posted social media sites may be reviewed.
Nivel de experiencia
Algo de responsabilidad
Sector
Servicios y tecnologías de la información Software Seguridad del ordenador y de las redes
Tipo de empleo
Jornada completa
Funciones laborales
Desarrollo empresarial Ventas"
Vistaprint,"Senior Analyst, Customer Analytics - Europe Remote","Barcelona, Cataluña, España A distancia",Publicado hace hace 1 semana,257 visualizaciones,Algo de responsabilidad,Internet Marketing y publicidad Ingeniería industrial o mecánica,Jornada completa,Otro,"Anunciado por
Sofia Puigtió 2º
Talent Acquisition @Vistaprint - Hiring dreamers, designers and doers
Enviar mensaje InMail
Vistaprint’s Data and Analytics (DnA) organization is working to make our company one of the world’s most well-known and successful data-driven companies. The cross-functional team includes product owners, analysts, technologists, data engineers and more - all focused on providing Vistaprint with information and tools we can use to deliver jaw-dropping customer value. DnA team members are empowered to learn new skills, communicate openly and be active problem-solvers.

What You Will Do

Are you inquisitive by nature with passion about data and technology? You will be part of the creation of Vistaprint’s time-series analysis and forecasting capability! You will explore and visualize data, making recommendations and building scalable data products that help Vistaprint become more data-driven in its planning processes!
Collaborate in a complementary team (e.g. Product Owners, Marketing, Developers) on analyses, bringing forward ideas and insights to drive value for our customers.
Identify trends and drivers, perform exploratory data analyses and present views that will provide visibility into business drivers: Data Exploration, Visualization, and Dashboarding.
Incorporate multiple data sources and methodologies to find opportunities to help us better understand customer behavior and give to product-level demand forecasting: Data Analysis and Modeling.
Design and execute experiments to optimize our forecasting data products for accuracy and usefulness.
Focus on delivering customer value early and often in a fast-paced and agile environment.

Your Qualifications
Bachelor’s degree in Business, Mathematics, Statistics, Computer Science, Engineering, Economics or related field.
Experience with SQL or with another programming languages to support analytics, such as Python or R.
Sophisticated level with exploratory analysis and statistical techniques that are driven to find relevant patterns and trends in the data.
Experience with data modelling, visualization and data exploration tools such as Tableau or Looker, is a plus. And previous experience with time-series or forecasting analysis is desirable.
Minimum 3 years working in an analytics environment.

Why You'll Love Working Here

Being at Vistaprint means that you don’t see work as just a building, a desk or a manufacturing floor. You see it as a chance to take a step forward in your career journey - and your life. We strive to give you everything you need to learn, grow, and succeed. Through innovation, collaboration, and perpetual exposure to what’s next, we’re always pushing boundaries and broadening our horizons. We embrace the chance to operate outside of our comfort zone to discover what we’re capable of. Some might call that a challenge; we just call it another great day at work.

Remote First-Culture

In 2020, Vistaprint adopted a Remote-First operating model and culture. We heard from our team members that having the freedom, autonomy and trust in each other to work from home and, the ability to operate when they are most productive, empowers everyone to be their best and most brilliant self. Vistaprint also provides collaboration spaces for team members to work physically together when it's safe to do so or believe in office working will deliver the best results. Currently we are enabled to hire remote team members in over 20 US States as well as several countries in Europe: Spain, Germany, UK, Czech Republic, the Netherlands and Switzerland.

About Us

As an e-commerce powerhouse, Vistaprint is a dynamic organization that maintains an exciting, entrepreneurial culture. With founder Robert Keane’s return as CEO, we’ve renewed our focus on empowering and helping small businesses. To do this, we create customer value (and delight) through accessible, cutting-edge technology. We thrive on providing opportunities for exploration, collaboration, innovation and growth - for both our customers and our team.

Equal Opportunity Employer

Vistaprint, a Cimpress company, is an Equal Employment Opportunity Employer. All qualified candidates will receive consideration for employment without regard to race, color, sex, national or ethnic origin, nationality, age, religion, citizenship, disability, medical condition, sexual orientation, gender identity, gender presentation, legal or preferred name, marital status, pregnancy, family structure, veteran status or any other basis protected by human rights laws or regulations. This list is not exhaustive and, in fact, in many cases, we strive to do more than the law requires.

Nivel de experiencia
Algo de responsabilidad
Sector
Internet Marketing y publicidad Ingeniería industrial o mecánica
Tipo de empleo
Jornada completa
Funciones laborales
Otro"
Hays,Digital Team Lead Analyst,"Barcelona, Cataluña, España",Publicado hace hace 1 semana,412 visualizaciones,Intermedio,Consultoría de estrategia y operaciones Marketing y publicidad,Jornada completa,Consultoría,"We are looking for a proactive and determined person to join Digital’s Agency as a Digital Team Lead in Analytics team. You will be the subject matter expert of Digital Analytics in the company and will help our clients understand their digital business using data. You will work with different platforms and tools to find areas for improvement in our clients’ digital assets and will make proposals to increase their performance.

As a Digital Team Lead Analyst you will:

Serve as the subject matter expert in Digital Analytics.
Work to design the digital measurement solutions according to business requirements from clients.
Find insights and turn them into actionable ideas in order to improve the performance of our clients’ digital assets.
Generate data-driven hypotheses, to be tested in A/B and/or multivariate experiments.
Work closely with other Digital Analytics colleagues, as well as with specialists in areas such as UI, UX, creative, development, SEO or Paid Acquisition.
Overview the implementation, configuration and validation of tag management and analytics tools.
Identify business opportunities and prepare ad hoc proposals to potential clients.
Provide training, both internally and to clients.

We’re definitely looking for you if you have:

Bachelor’s degree in Business, Marketing, Statistics or Engineering.
Experience of minimum 3 years in Digital Analytics and Marketing projects, preferably from an agency perspective. Having developed project management tasks in the past is a strong plus.
Strong knowledge of Digital Analytics tools (Google Analytics, Hotjar, CrazyEgg, Adobe Analytics, Matomo, Mixpanel, Google Tag Manager…).
Strong knowledge of Excel and comfortability working with large datasets.
Strong knowledge of testing and personalization tools (Optimize, Optimizely, VWO…).
Knowledge of reporting tools (Data Studio, Tableau, PowerBI…).
Project management skills, proactivity and autonomy.
Fluently spoken and written English. Second language is a plus, especially if it’s Italian.

It would be nice if you had knowledge of:

Marketing tools (Google Ads, Facebook Business Manager, Campaign Manager).
Experience with channel attribution tools.

Benefits

Join us and you will enjoy all this stuff:

Awesome Working Environment.
Work with a Very Talented Team.
Continuous Skills Development.
Prestigious Clients.
Full Gym and Fitness Classes with Special Discounts.
Medical Insurance with Special Discounts.
English/Spanish/Italian classes.
Birthday off.
Nivel de experiencia
Intermedio
Sector
Consultoría de estrategia y operaciones Marketing y publicidad
Tipo de empleo
Jornada completa
Funciones laborales
Consultoría"
