,Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción
0,Page Personnel,Data Scientist,"Barcelona, Cataluña, España",Publicado hace hace 2 meses,556 visualizaciones,Sin experiencia,Servicios y tecnologías de la información Dotación y selección de personal Recursos humanos,Jornada completa,Ingeniería Tecnología de la información,"Data Scientist
Empresa ubicada en Barcelona
Busca incorporar a un Data Scientist
About Our Client
Importante empresa del sector energético ubicada en Barcelona.

Job Description
Analítica de datos: procesos de transformación y segmentación de datos.
Identificar el valor agregado mediante la realización de actividades de gestión de datos.
Planificación y/o ejecución bajo demanda de los diferentes desarrollos de los científicos de datos.
Realización de algoritmos.
The Successful Applicant
Estudios universitarios en Matemáticas u otras ciencias afines .
Experiencia profesional previa en entornos de MachineLearning
Gran capacidad analítica.
Conocimiento en bases de datos SQL.
Buen manejo de relaciones interpersonales.

What's On Offer

Oportunidades de carrera y desarrollo profesional
Contact: Pancho Maluenda
Quote job ref: 323190
Brand: PP
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Dotación y selección de personal Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información"
0,McKinsey & Company,Data Scientist Intern - Advanced Analytics,"Madrid, Comunidad de Madrid, España",Publicado hace hace 2 semanas,6254 visualizaciones,Prácticas,Software Servicios y tecnologías de la información Consultoría de estrategia y operaciones,Prácticas,Consultoría Ingeniería Tecnología de la información,"Apply Now

Qualifications
Undergraduate degree in mathematics, statistics, physics, engineering
0-1 year of professional experience in programming; experience applied to business problems is a plus
Knowledge in programming (focus on machine learning) such as R and/or Python (must), SPSS, SAS, Ruby, Hadoop (valued)
Statistical knowledge is a plus
Demonstrated aptitude for analytics
Proven record of leadership in a work setting and/or through extracurricular activities
Ability to work collaboratively in a team environment
Ability to work effectively with people at all levels in an organization
Skills to communicate complex ideas effectively
Ability to communicate complex ideas effectively, both verbally and in writing, in English and Spanish
Knowledge of other languages including Portuguese, German, French and Italian will be valued

Who You'll Work With
You’ll work with our analytics team in Madrid focusing on machine learning for 2-3 months. This global practice supports clients in many different industries facing challenges of developing and implementing tailored concepts for prediction and prescription.

What You'll Do
You will focus on the development of advanced analytics models to optimize underlying business problems.

In this role, you'll have the opportunity to shape the future of what data-driven organizations look like, drive processes for extracting and use that data in creative ways. You will create new lines of thinking within an infinite number of clients and situations. You will create valuable, transformative business strategies through the measurement, manipulation, reporting and dissemination of broad sets of data.

You will apply and advise on state-of-the-art advanced analytic and quantitative tools and modeling techniques in order to derive business insights, solve complex business problems and improve decisions. Additionally, you will review, support and advise on the day-to-day analytics requirements of clients’ key operational processes while continually improving the impact of these processes.
Nivel de experiencia
Prácticas
Sector
Software Servicios y tecnologías de la información Consultoría de estrategia y operaciones
Tipo de empleo
Prácticas
Funciones laborales
Consultoría Ingeniería Tecnología de la información"
0,"FDS, A DXC Technology Company",Data Scientist,La Coruña y alrededores,Publicado hace hace 1 semana,909 visualizaciones,Algo de responsabilidad,Servicios y tecnologías de la información,Jornada completa,Tecnología de la información Análisis,"En nuestro Centro de Inteligencia de Negocio de Santiago de Compostela, estamos desarrollando diferentes proyectos que abarcan tanto el desarrollo de software con las últimas tecnologías, como proyectos que tienen que ver con la analítica de datos desde las tres vertientes tecnológicas, Business Intelligence, Big Data y Data Scientist.

Requerimos el siguiente perfil profesional:
 Data Scientist, en concreto requerimos de un profesional con experiencia en desarrollo de modelos de Machine Learning y Deep Learning Conocimientos de herramientas de Big Data Experiencia con Bases de Datos y Lenguaje SQL Capacidad analítica e interlocución con cliente. Puedes elegir trabajar desde nuestra sede de Santiago o desde la de Coruña.
 ¿Qué esperamos de ti?
Formación en Ingeniería o Ingeniería técnica en Informática, Licenciatura en Física o Matemáticas
Experiencia en desarrollo de modelos de Machine Learning aplicado a industria.
Conocimientos de Big Data (Hadoop, Spark..)
Conocimientos de lenguajes de programación Python, R .
Y sobre todo, muchas ganas de trabajar en equipo, aprender y adaptarte a nuevos entornos técnicos.
 ¿Qué te ofrecemos?
Integrarte en una empresa líder a nivel internacional en servicios globales de IT
Participar en proyectos innovadores con profesionales especializados en tecnologías de última generación
Retribución acorde al nivel de expertise del candidato

¿Quieres trabajar con nosotros en nuestro área de Analytics and Data Management? apúntate a nuestras ofertas de trabajo.
  Nivel de experiencia
Algo de responsabilidad
Sector
Servicios y tecnologías de la información
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información Análisis"
0,IOV Labs,Researcher Developer,España A distancia,Publicado hace hace 3 días,2632 visualizaciones,Intermedio,Servicios y tecnologías de la información,Jornada completa,Ingeniería Tecnología de la información,"Anunciado por
Nannina Sackmann
Talent Acquisition & Development Lead at IOV Labs
Enviar mensaje InMail
We are looking for open-minded, passionate, analytical, Researcher Developers with interest in cryptocurrencies and the blockchain ecosystem to join a highly qualified team of technical excellence for one of the most challenging projects in the Bitcoin and FinTech industry worldwide.

Our Innovation/Applied Research Team seeks to incorporate experienced developers who:
Want to put their theoretical computer knowledge into practice, from writing complex data structures to designing critical algorithms for network performance.
Enjoy writing code but also and formally analyzing algorithms and protocols.

As part of the Innovation/Applied Research Team you may have the following responsibilities:
Analyze blockchain designs and code from the security perspective and find design vulnerabilities
Design, evaluate, use, and produce PoC implementations for blockchain technologies
Make sound recommendations based on research findings and product performance
Write research reports, blog posts and scientific papers
Give oral presentations on key blockchain technologies in fluent English
 Experience & Skills Required
Requires bachelor’s degree in area of specialty, such as math or computer science
Senior-level programming skills in one procedural language
Fluent written and oral English
Willing to work in a fast paced and highly agile environment
Excellent interpersonal and communication skills.
 Other Desired Skills
Subject matter expertise in blockchain and related technologies (computer privacy, computer security, cryptography, number theory, distributed systems, algorithm complexity, data structures, game theory, statistics, economics)
Superior analytical skills, applying conceptual models, recognizing patterns while drawing and defending conclusions.
Strong knowledge and passion for FinTech and financial services, Bitcoin, RSK & Ethereum, willing to work in this fast-moving environment.
 Type
Full time

Location
The location is not an issue, since we are hiring globally.
Nivel de experiencia
Intermedio
Sector
Servicios y tecnologías de la información
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información"
0,Strategy Big Data,Speech Data Science - Kaldi,"Madrid, Comunidad de Madrid, España",Publicado hace hace 6 horas,509 visualizaciones,Intermedio,Servicios y tecnologías de la información,Jornada completa,Tecnología de la información,"En Strategy Big Data nos encontramos en la búsqueda de personas entusiastas, proactivas y que sean capaces de entender las necesidades del negocio. Actualmente tenemos abierta una vacante para un Speech and Data Scientist

Responsabilidades:

- Investigación y desarrollo en nuevas tecnologías aplicado en voz y nlp.
- Mantenimiento y mejora de los actuales modelos de speech  to text y diarization.

Requisitos

Imprescindible:

-  Experiencia en el desarrollo de sistemas de reconocimiento de voz.
- Experiencia demostrable trabajando con Kaldi-ASR como toolkit de voz.
- Experiencia con bases de datos relacionales y no relacionales como Mongodb.
- Experiencia en procesamiento de señales.
-  Experiencia en desarrollo con Python y bash.
-  Experiencia usando herramientas de control de versiones como gitlab, github...
- Titulación universitaria superior: Ingeniería, matemáticas o estadística, preferiblemente ingeniería de telecomunicaciones o similar.

Deseable:

-  Experiencia en implementar la investigación en producción
- Experiencia en el uso de los servicios gestionados de AWS como ECR, AWS S3, EC2
-  Experiencia en aplicación técnicas de CI/CD

Valorable:

- Conocimiento de otros frameworks como tensorflow o pytorch.
- Experiencia con otras toolkits de voz como DeepSpeech
- Experiencia en entornos de trabajo con metodologías ágiles
- Tener publicaciones científicas en el campo de la voz.



¿Qué ofrecemos?
Incorporación a un grupo con más de 65.000 profesionales, distribuidos a lo largo de 9 paises, contratación indefinida, oportunidad de crecimiento dentro de la organización, aprendizaje continuo. Además:
-buen ambiente de trabajo junto a compañeros que son altamente cualificados en sus tecnologías y de los que aprenderás cada día.
-horario flexible.
-cheque restaurant.
-seguro médico privado con una amplia cobertura, seguro dental y precio reducido para tus familiares.
-salario competitivo.
-creemos en la libertad y responsabilidad, eso significa que trabajamos con una estructura horizontal, sin jerarquías, basados en la autogestión y además con metodologías agiles, para facilitar tu día a día en el trabajo.
    Ofrecemos la oportunidad de trabajar con un equipo altamente cualificado.
    Si encuentras interesante esta posición, sin duda alguna aplica y así podremos darte mayor detalle de la oferta.  
Nivel de experiencia
Intermedio
Sector
Servicios y tecnologías de la información
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
0,Aclara,Data Scientist,"Bilbao-Bilbo, País Vasco / Euskadi, España",Publicado hace hace 1 semana,368 visualizaciones,Sin experiencia,Manufactura eléctrica/electrónica Construcción Software,Jornada completa,Ingeniería Tecnología de la información,"Purpose:

Participate in the design and development of Data Processing workloads used both internal and external, to generate system level reports. Internally, the data supports product root causes investigations. Externally, the data is used to provide system level reports.

Essential Functions:

Migrate existing python/pandas and MySQL report processing workloads to Azure/Databricks/MySQL/Delta/Data Factory architecture.
Build new or enhance existing CI/CD pipelines.
Provide support and feedback on migration work done by the team.
Implement logging on cloud to capture the job runs traces and errors.
Implement notifications and control process to identify missing input data.
Initiate VM scripts from Data Factory and report process/track progress of the jobs running.
Normalize schema updates for delta lake without manual effort.
Create a framework to migrate existing on-premise workloads to cloud to ingest data.
Build pipelines to perform ETL using Databricks delta lake (bronze, silver, and gold architecture).
Load data into delta lake and make it available to Tableau and other reporting tools.
Mine and analyze data to drive optimizations and improvements of product development.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.

Knowledge/Skills/Abilities:

Required:

Bachelor's Degree in Statistics, Mathematics, Computer Science, or related field.
3+ years of experience in data engineering.
2+ years of experience working in Azure based deployments (Batch/Real-Time) leveraging Azure SQL, Databricks, ADLS, Blob Storage, ADF, Azure Stream Analytics.
3+ years of experience with one or more of the follow scripting languages: Python, SQL, PySpark, and/or other.
Experience on end to end deployment in Azure with CI/CD pipelines.
Experience working with and creating data architectures.
Knowledge of advanced statistical techniques and concepts and experience with applications (regression, simulation, scenario analysis, modeling, properties of distributions…).
Knowledge of a variety of machine learning techniques (clustering, decision trees, neural networks…) and their real-world advantages/drawbacks.
A/B Testing and test model quality.
Strong analytic and problem-solving skills.
Ability to work on software environments with intermediate to advanced complexity.
Possesses a high degree of accountability.
Excellent verbal and written communications skills.
Self-motivated to learn and keep skills up to date.
High Level of English.

Preferred:

Experience working in a distributed development environment.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, etc.
Experience with Agile Software Development.
Familiarity with continuous integration.
Understanding fundamental design principles behind a scalable application.
Excellent time management skills, including multi-tasking and prioritization.
Excellent interpersonal skills.

Travel:

Travel to the United States may be required.
Nivel de experiencia
Sin experiencia
Sector
Manufactura eléctrica/electrónica Construcción Software
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información"
0,Avanade,Data Engineer,"Málaga, Andalucía, España",Publicado hace hace 1 semana,179 visualizaciones,Sin experiencia,Servicios y tecnologías de la información Software Servicios financieros,Jornada completa,Tecnología de la información,"Job Description

Buscamos gente como tú: ¡Que disfrutas de tu trabajo, aceptas retos para llegar más lejos en tu carrera, te sientes orgulloso de pertenecer a una compañía Top Employer, te gusta el trabajo en equipo y colaborar con tu experiencia para que todos seamos mejores en nuestro día a día!

¿Quieres recibir formación en últimas tecnologías y tener la posibilidad de certificarte de manera gratuita?
¿Quieres trabajar en un ambiente dinámico, con proyectos de gran envergadura aplicando tecnología de última generación y trabajar en equipo con profesionales de primer nivel?.

Buscamos incorporar en nuestro equipo de Analytcis en Málaga, Sevilla o Alicante perfiles con experiencia en:
Power BI
Microsoft SQL Server
SSAS, SSIS, SSRS
Qilckview
Tener c onocimientos en técnicas de Big Data, sobre todo usando Spark, sobre todo si has usado Python o Scala.
Las condiciones que te ofrecemos en Avanade son las siguientes:
Horario que te permitirá conciliar vida laboral y personal.
Participación en proyectos importantes para clientes de primer nivel nacional e internacional.
Una atractiva remuneración compuesta por un salario bruto anual y un programa de beneficios corporativos y retribución flexible.
Te esperamos: ¡Avanade es tu compañía!.

About Avanade

Avanade leads in providing innovative digital services, business solutions and design-led experiences for its clients, delivered through the power of people and the Microsoft ecosystem. Our professionals combine technology, business and industry expertise to build and deploy solutions to realize results for clients and their customers. Avanade has 29,000 digitally connected people across 23 countries, bringing clients the best thinking through a collaborative culture that honors diversity and reflects the communities in which we operate. We welcome all, and seek talented individuals who can bring their whole self to work, build inclusive teams and encourage diversity inside and outside the organization. Majority owned by Accenture, Avanade was founded in 2000 by Accenture LLP and Microsoft Corporation. Learn more at www.avanade.com .
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
0,Strona Drago,ES- Científico de datos,"Madrid, Comunidad de Madrid, España",Publicado hace hace 19 horas,429 visualizaciones,Sin experiencia,Servicios y tecnologías de la información Software Recursos humanos,Jornada completa,Ingeniería Tecnología de la información,"Descripción de la empresa

¿QUIÉNES SOMOS? Una innovadora empresa TIC especializada en Transformacion Digital.

Data & Analytics: Modern BI, Data Visualization, Data Governance ( Microstrategy, Microsoft BI, Oracle BI, PWC, Qlik, Tableau, Power BI, IDQ, MDM, BDM ...)
Big Data: Phyton, R, Spark, TensorFlow, Haddop, Hive, Impala, NOSQL...
Plataformas de desarrollo en la nube/ Cloud Computing: Azure, AWS, Red Hat, Google...
IT- ITSM: ServiceNow, BMC Software...
Desarrollo de proyectos de Transformacion Digital: JEE, .NET, Node.JS, Angular, REACT, Bootstrap..
Devops& Automatizacion: Phyton, OpenShift, Docker, Kubernetes, GIT, Jenkins ...
ERP/CRM: Dynamics 365, SAP, Salesforce...

Descripción del empleo

Buscamos un perfil con experiencia en proyectos con implementación de algoritmos y desarrollo integral de modelos analíticos utilizando plataformas de Machine Learning basadas en Big Data.

2 años de experiencia en programación de modelos analíticos empleando Python, R,Java o Scala.
Titulación Universitaria: Grado o Ing Tec. matemáticas, informática y/o teleco.
Idealmente con certificación profesional en el ámbito de Data science.
Lugar de residencia: Indiferente

Requisitos

2 años de experiencia en programación de modelos analíticos empleando Python, R,Java o Scala.
Titulación Universitaria: Grado o Ing Tec. matemáticas, informática y/o teleco.
Idealmente con certificación profesional en el ámbito de Data science.
Lugar de residencia: Indiferente
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información"
0,ISO,Data Engineer (Python),"Málaga, Andalucía, España",Publicado hace hace 1 semana,203 visualizaciones,Intermedio,Software Seguros Servicios financieros,Jornada completa,Tecnología de la información,"Company Description

ISO, a Verisk business, has been a leading source of information about property/casualty insurance risk since 1971. For a broad spectrum of commercial and personal lines of insurance, ISO provides statistical, actuarial, underwriting, and claims information and analytics; compliance and fraud identification tools; policy language; information about specific locations; and technical services. ISO serves insurers, reinsurers, agents and brokers, insurance regulators, risk managers, and other participants in the property/casualty insurance marketplace. To learn more about ISO please visit us at:  www.verisk.com/iso. We are proud to be a part of the Verisk family of companies!

At the heart of what we do is help clients manage risk. Verisk (Nasdaq: VRSK) provides data and insights to our customers in insurance, energy and the financial services markets so they can make faster and more informed decisions.

Our global team uses AI, machine learning, automation, and other emerging technologies to collect and analyze billions of records. We provide advanced decision-support to prevent credit, lending, and cyber risks. In addition, we monitor and advise companies on complex global matters such as climate change, catastrophes, and geopolitical issues.

But why we do our work is what sets us apart. It stems from a commitment to making the world better, safer and stronger.

It’s the reason Verisk is part of the UN Global Compact sustainability initiative. It’s why we made a commitment to balancing 100 percent of our carbon emissions. It’s the aim of our “returnship” program for experienced professionals rejoining the workforce after time away. And, it’s what drives our annual Innovation Day, where we identify our next first-to-market innovations to solve our customers’ problems.

At its core, Verisk uses data to minimize risk and maximize value. But far bigger, is why we do what we do.

At Verisk you can build an exciting career with meaningful work; create positive and lasting impact on business; and find the support, coaching, and training you need to advance your career. We have received the Great Place to Work® Certification for the fourth consecutive year. We’ve been recognized by Forbes as a World’s Best Employer and a Best Employer for Women, testaments to our culture of engagement and the value we place on an inclusive and diverse workforce. Verisk’s Statement on Racial Equity and Diversity supports our commitment to these values and affecting positive and lasting change in the communities where we live and work.

Job Description

We are looking for a Python Data Engineer who will be responsible for writing, debuging, maintaining and testing our products (existing ones, new modules on existing applications or completely new products). Working with other stakeholders (senior developers, dev managers and technical leads, analysis, test, project management, product owners) to complete the work on the agreed timelines and with the required quality.

Main Responsibilities
Designs and build component-based applications in a web/internet delivery environment, alone or with other developers I or II.
Works on new and existing applications along with enhancements to websites, web applications, and infrastructure.
Scopes, implements, tests and deploys new features and versions of core applications, databases and utilities.
Performs hands-on coding and assists in the design of solutions.
Raises issues during development cycle (running late, blockers, lack of analysis, etc.)
Prepares reports, manuals and other documentation on the status, operation and maintenance of software when asked by his/her managers.
Provides documentation of user's requirements, development of user stories, and estimates when requested to do so.
Assists with providing third-level support to business users.
Helps with code reviews.
Writes design technical documents.
Mentors Software Developer Engineers I.
Participates actively in planning meetings, retrospectives, daily stand ups, and other meetings as part of the software development process.
Updates progress in our systems (i.e. move items to the right status, remaining effort, etc.).

Qualifications

We are ideally looking for an experienced Data Engineer with the following:
Bachelor’s degree preferred in Computer Science or other relevant field and demonstrable related experience.
Working knowledge of all phases of the software development life cycle.
Expert in object-oriented programming concepts, unit & integration testing, data and relational databases, technical database design, web architecture and application servers.
Strong ability to document development including database design, application design and ongoing documentation of changes and modifications.
Knowledge of Agile development methodologies helpful.
Strong skills of design patterns.
Deep understanding about performance and scalability implications in the development process and experience with performance monitoring tools.
Ability to install complex software patches and upgrades.
Ability to review code written by others and provide feedback and recommendations to follow coding guideline.
Able to provide estimates.
Demonstrated ability to write technical documents including database design, application design and ongoing documentation of changes and modifications.
Demonstrated experience with N-tiered applications, multi-tier architecture, and production Internet architectures.
Demonstrated ability to learn and adapt to continuously changing technology.
Be able to design considering operational costs.
Desire to lead a work stream coordinating a small team of developers.
Ability to do a risk analysis.
Independently productive being able to face most tasks on their own and understand when they need to ask for help.

Additional Information

Verisk Analytics is an equal opportunity employer.

All members of the Verisk Analytics family of companies are equal opportunity employers. We consider all qualified applicants for employment without regard to race, religion, color, national origin, citizenship, sex, gender identity and/or expression, sexual orientation, veteran's status, age or disability.

http://www.verisk.com/careers.html

Unsolicited resumes sent to Verisk, including unsolicited resumes sent to a Verisk business mailing address, fax machine or email address, or directly to Verisk employees, will be considered Verisk property. Verisk will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume.

Consumer Privacy Notice

Nivel de experiencia
Intermedio
Sector
Software Seguros Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
0,Redarbor,Data Engineer,"Sant Cugat del Vallès, Cataluña, España",Publicado hace hace 4 semanas,199 visualizaciones,Sin experiencia,Servicios y tecnologías de la información Software Internet,Jornada completa,Tecnología de la información,"¿Qué hacemos?
El equipo de Data está entrelazado con todas las unidades de la empresa. Somos una empresa basada en datos que transforma toda la información valiosa en conocimiento, negocios y comprende mejor a nuestros clientes y usuarios.
El análisis de datos nos permite optimizar nuestro trabajo, desarrollar estrategias y nos anima a seguir explorando nuevas.
¿Qué usamos?
Trabajamos con varias tecnologías analíticas de última generación. Queremos seguir creciendo y ampliando nuestras capacidades. Las tecnologías de datos cambian y emergen constantemente y estamos listos para adoptarlas.
¿A quién buscamos?
Buscamos incorporar a personas entusiastas, que sientan verdadera pasión por la tecnología y con ganas de sugerir e innovar.
Como Data Engineer, formarás parte del equipo de Data. Tu trabajo influirá en el futuro de CompuTrabajo y en nuestras soluciones TI para el sector de los RRHH.
Cada mes, recibimos más de 92.000.000 de visitas, se publican más de 270.000 ofertas de empleo, tenemos más de 730.000.000 de páginas vistas y se generan millones de búsquedas.
Queremos ser una empresa realmente basada en datos que transforme toda la información valiosa en conocimiento, negocios y comprender mejor a nuestros clientes y usuarios.

Eres La Persona Que Buscamos, Sí
Te encanta procesar datos masivos, construir plataformas de datos robustas y escalables.
Aportas Experiencia En
Python/R y SQL
Data analysis
Conocimiento de AWS u otros servicios cloud
Deseable
Conocimiento de arquitecturas MVC y frameworks (Django, Flask or Pyramid)
Formación: CFGS en Informática, Grado Ingeniería informática o similar etc.
¿Nuestro equipo?
Está liderado por CTO (aportando amplia experiencia en el mundo del empleo online).
Contamos con 6 equipos desarrollo de software y trabajamos en colaboración con todos los departamentos (diseño/maquetación, producto, QA, Operaciones, Marketing, etc..)
¿Qué ofrecemos?
Contrato Indefinido + 23 días de VACACIONES + flexibilidad horaria + día libre en tu CUMPLEAÑOS
Jornada Intensiva; viernes, Navidad, Semana Santa, Julio y Agosto (siempre que por proyecto sea posible)
Beneficios: clases de inglés gratuitas a través de Classgap, descuentos en las cuotas del gym, descuento en la cuota del aparcamiento del edificio, contribución en la factura de gafas graduadas..
Retribución flexible
Trabajando en remoto desde el inicio de la pandemia. El trabajo en oficinas se dará de forma puntual hasta que la situación derivada del covid-19 este controlada.
¡Únete a nuestro equipo!
For additional information on redarbor, please visit http://redarbor.net/nosotros | Twitter: @RedArbor_net | https://www.linkedin.com/company/red-arbor Disponibilidad para viajar: Si
Disponibilidad para cambio de residencia: Si
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
0,Data Scientist en METIORA,,,,,,Oportunidad de prosperar en un entorno de emprendimiento de alto crecimiento,Contrato indefinido,Cientos de problemas para resolver,"Descripción del empleo

Estamos actualmente buscando a un Data Scientist para incorporarse en el equipo de Metiora.

Perfil Del Candidato
Grado en Computer Science, Telecomunicaciones o Informática
Al menos 2 años de experiencia en proyectos reales
Proactividad y pasión por la tecnología
Ganas de trabajar en equipo
Curiosidad intelectual y persistencia para resolver problemas

Requisitos

Requisitos
Alto conocimiento de Python
Enfocado en la calidad, escalabilidad y código limpio
Bases de datos (SQL)
Bases de datos no relacionales (MongoDB / Redis / Clickhouse)
Buen nivel de inglés
Conocimientos de análisis de datos
Conocimientos de técnicas de Machine Learning
Manejo de la visualización de datos para la generación de reportes
Conocimientos del ecosistema IoT
Buen trato con clientes y proveedores externos

Información adicional

Qué Ofrecemos
Oportunidad de prosperar en un entorno de emprendimiento de alto crecimiento
Salario competitivo
Contrato indefinido
Grandes compañeros con los aprender y trabajar
Cientos de problemas para resolver"
0,Skillsearch Limited,Data Scientist,"Barcelona, Cataluña, España",Publicado hace hace 5 meses,698 visualizaciones,Sin experiencia,Marketing y publicidad Software Dotación y selección de personal,Jornada completa,Ingeniería Tecnología de la información,"Data Scientist in Barcelona
Are you an experienced Data Scientist that wants to join the newest studio of a worldwide games industry giant? Its a unique opportunity to work with well loved classics while also creating the next generation of mobile games all while located on the beach in Spain!
Youll head up the planning, execution and ongoing optimisation of ad campaigns, working closely with the wider team to ensure growth across all of the games. Part of your time will also be focused on the key KPIs which will be achieved alongside MMPs, internal account managers and external agencies.
This studio already has a core team of experienced, diverse and dedicated people but youll be joining only months after the studio opening so will have a real impact on games and studio.

Data Scientist Responsibilities

Work with large, complex data sets to manipulate and analyse behaviour of players
Use your behavioural analyses to provide recommendations for strategic and operational business questions
Work with in-game data to help build game features and product roadmaps
Strive to produce the best games possible using data insights on retention and monetization
Create automated dashboards and reports that will be used by the whole studio to understand the game data and how this relates to the in-game experiences

Requirements For This Role In Barcelona

Background working with data in the games industry, preferably within mobile games
Experience working with SQL especially large, complex data sets
Examples of work with Tableau or similar for analysis and visualisation
An extensive body of work showing off your detail orientated approach and problem solving skills
Experience turning complex concepts into actionable recommendations
Degree level education in a mathematical/quantitative subject
A little bit about the city: Barcelona
Barcelonas stunning beaches, balmy weather and striking architecture are all great reasons to settle in this beautiful city. Home to many restaurants, museums and traditions, theres certainly a lot to explore. One feature the city is certainly proud of is that it is home to 8 UNESCO World Heritage Sites, largely thanks to Gaudis architecture which can be found at various sites citywide.
Barcelonas compact city centre and excellent transport system make getting around trouble-free and commuting time minimal. Home to a flourishing international community, Barcelona is a great city to relocate to if youre hoping to feel at home.
Nivel de experiencia
Sin experiencia
Sector
Marketing y publicidad Software Dotación y selección de personal
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información"
0,Shift Technology,Data Scientists en prácticas – Hispanohablante (fin de estudios),"Madrid, Comunidad de Madrid, España",Publicado hace hace 1 mes,1087 visualizaciones,Sin experiencia,Investigación Recursos humanos Seguros,Jornada completa,Ingeniería Tecnología de la información,"¿Estás buscando unas prácticas y te apasiona la programación? ¡Ven y únete al líder francés de Insurtech para cambiar el mundo de los seguros con AI!

Rol

Como miembro del equipo Data Scientist de la oficina de Madrid y trabajando junto con nuestros expertos técnicos, podrás:

Comprender los datos de seguros y los mecanismos de fraude;
Crear los modelos matemáticos asociados;
Implementar, probar y optimizar los algoritmos asociados;
Participar en talleres con los clientes para recopilar comentarios e integrarlos en los modelos;
Aportar continuamente ideas para mejorar la solución.

Tu perfil

Eres nativo en español y hablas con fluidez en inglés (obligatorio)
Tienes habilidades técnicas avanzadas en Matemáticas Aplicadas, preferiblemente en machine learning y/o investigación operativa;
Combinas habilidades de análisis y síntesis; y no tienes miedo de afrontar los problemas complejos y poder explicar todos sus detalles.
Puedes escribir código de producción de calidad;
Capacidad de relacionarse cara a cara a nuestros clientes para hablar de sus necesidades e integrar sus comentarios en su proyecto;
Puedes comunicarte con fluidez en inglés y tu idioma nativo es el español.

¿Quieres saber más?

Para postular, envíanos tu currículum y haznos saber por qué podríamos ser una gran opción para ti.

Esta posición es para ti si ...

Estás buscando unas prácticas de fin de estudios para completar tus estudios superiores (Máster).

¡Estás interesado en un puesto fijo y crees que Shift es el lugar adecuado para comenzar!
Nivel de experiencia
Sin experiencia
Sector
Investigación Recursos humanos Seguros
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información"
