,id,breed,name_breed,description
10,10,bedlington_terrier,Bedlington Terrier,"The Bedlington Terrier is a breed of small dog named after the mining town of Bedlington, Northumberland in North East England.  Originally bred to hunt, the Bedlington Terrier has since been used in dog racing, numerous dog sports, as well as in conformation shows and as a companion dog. It is closely related to the Dandie Dinmont Terrier, Whippet and Otterhound.
It is described as a very versatile yet contradictory dog. They have powerful swimming skills, comparable to those of water dogs such as the Newfoundland, and are noted for being very quick and having high endurance. They love snow, and can achieve a Husky-like turn of speed on ice or in deep powder, using their powerful noses as a plough. Bedlingtons are noted for their similarity in appearance to lambs. The dogs have blue, liver or sandy colouration, all three of which may have tan points. Their fur forms a distinctive top knot on the dog's head. It is nonshedding and with minimal odor but needs weekly grooming to remove dead hair.Originally known as the Rothbury or Rodbury Terrier, the name Bedlington Terrier was not applied to the breed until 1825, but some dogs have pedigrees that can be traced back as far as 1782. The first dog show with a class for Bedlington Terriers was held in 1870 at Bedlington. Bedlington Terriers shown at early shows were frequently dyed to improve the look of their fur. In 1948, a Bedlington Terrier known as Rock Ridge Night Rocket won best in show at the Westminster Kennel Club Dog Show. The breed has a high incidence of copper toxicosis, but with the exception of eye problems, it is mostly free from health complaints.

"
11,11,bernese_mountain_dog,Bernese Mountain Dog,"The Bernese Mountain Dog (German: Berner Sennenhund) is a large dog breed, one of the four breeds of Sennenhund-type dogs from the Swiss Alps. These dogs have roots in the Roman mastiffs. The name Sennenhund is derived from the German Senne (""alpine pasture"") and Hund (hound/dog), as they accompanied the alpine herders and dairymen called Senn. Berner (or Bernese in English) refers to the area of the breed's origin, in the canton of Bern. This breed was originally kept as a general farm dog. Large Sennenhund in the past were also used as draft animals, pulling carts.  The breed was officially established in 1912.

"
12,12,black-and-tan_coonhound,Black-And-Tan Coonhound,"The Black and Tan Coonhound is a breed of hunting dog.  Developed in the United States from crosses between the Bloodhound and the Black and Tan Virginia Foxhound, this scent hound runs its game entirely by scent and is used primarily for raccoon hunting."
13,13,blenheim_spaniel,Blenheim Spaniel,"The King Charles Spaniel (also known as the English Toy Spaniel) is a small dog breed of the spaniel type. In 1903, the Kennel Club combined four separate toy spaniel breeds under this single title. The other varieties merged into this breed were the Blenheim, Ruby and Prince Charles Spaniels, each of which contributed one of the four colours available in the breed.
Thought to have originated in East Asia, toy spaniels were first seen in Europe during the 16th century. They became linked with English royalty in the time of Queen Mary I and were made famous by their association with King Charles II. Members of the breed were owned by Queen Victoria (Dash) and her great-granddaughter Grand Duchess Anastasia Nikolaevna of Russia.
The King Charles Spaniel and the other types of toy spaniels were crossbred with the Pug in the early 19th century to reduce the size of the nose, as was the style of the day. The 20th century saw attempts to restore lines of King Charles Spaniels to the breed of Charles II's time. These included the unsuccessful Toy Trawler Spaniel and the now popular Cavalier King Charles Spaniel. The Cavalier is slightly larger, with a flat head and a longer nose, while the King Charles is smaller, with a domed head and a flat face.
Historically the breeds that were merged into the King Charles Spaniel were used for hunting; due to their stature they were not well suited. They have kept their hunting instincts, but do not exhibit high energy and are better suited to being lapdogs. The modern breed is prone to several health problems, including cardiac conditions and a range of eye problems.

"
14,14,bloodhound,Bloodhound,"The Bloodhound is a large scent hound, originally bred for hunting deer, wild boar and, since the Middle Ages, for tracking people.  Believed to be descended from hounds once kept at the Abbey of Saint-Hubert, Belgium, it is known to French speakers as le chien de Saint-Hubert. A more literal name in French for the bloodhound is le chien de sang.
This breed is famed for its ability to discern human scent over great distances, even days later. Its extraordinarily keen sense of smell is combined with a strong and tenacious tracking instinct, producing the ideal scent hound, and it is used by police and law enforcement all over the world to track escaped prisoners, missing people, and lost pets."
15,15,bluetick,Bluetick,"Account  verification is the process of verifying that a new or existing account is owned and operated by a specified real individual or organization. A number of websites, for example social media websites, offer account verification services. Verified accounts are often visually distinguished by check mark icons or badges next to the names of individuals or organizations.
Account verification can enhance the quality of online services, mitigating sockpuppetry, bots, trolling, spam, vandalism, fake news, disinformation and election interference.

"
16,16,border_collie,Border Collie,"The Border Collie is a working and herding dog breed developed in the Anglo-Scottish border region, for herding livestock, especially sheep.Considered highly intelligent, extremely energetic, acrobatic and athletic, they frequently compete with great success in sheepdog trials and dog sports. They are often cited as the most intelligent of all domestic dogs. Border Collies continue to be employed in their traditional work of herding livestock throughout the world and are kept as pets.

"
17,17,border_terrier,Border Terrier,"The Border Terrier is a small, rough-coated breed of dog in the terrier group. Bred as a fox and vermin hunter, the Border Terrier shares ancestry with the Dandie Dinmont Terrier and the Bedlington Terrier.The Border Terrier was officially recognized by The Kennel Club in Great Britain in 1920, and by the American Kennel Club (AKC) in 1930. The border  terrier was bred to have long enough legs to keep up with the horses and other foxhounds, which traveled with them, and small enough bodies to crawl in the burrows of foxes and chase them out so the hunters had a blank shot. The foxhounds that traveled with them were not small enough to do the Border terrier's job.
In 2006, the Border Terrier ranked 81st in number of registrations by the AKC, while it ranked tenth in the United Kingdom.In 2008, the Border Terrier ranked eighth in number of registrations by the UK Kennel Club.
They were originally used for hunting in packs as they excel at catching rabbits and any small animal. Now they are commonly seen as family pets.

"
18,18,borzoi,Borzoi,"The Borzoi (borzaya, meaning sighthound), also called the Russian Hunting Sighthound (Russian: ру́сская псовая борзая, romanized: russkaya psovaya borzaya 'Russian long-haired sighthound'), is a sighthound hunting breed of domestic dog. They are descended from the working dogs of people who migrated from Central Asian countries to Russia prior to the 17th century.
The system by which Russians over the ages named their sighthounds was a series of descriptive terms, not actual names. Borzói is the masculine singular form of an archaic Russian adjective that means 'fast'. Borzáya sobáka ('Fast dog') is the basic term for sighthounds used by Russians, though sobáka is usually dropped. The name psovaya derived from the word psovina, which means 'wavy, silky coat', just as hortaya (as in hortaya borzaya) means shorthaired. In modern Russian, the breed commonly called the Borzoi is officially known as russkaya psovaya borzaya. Other Russian sighthound breeds are stepnaya borzaya (from the steppe), called stepnoi; and krimskaya borzaya (from the Crimea), called krimskoi.
The most commonly used plural form is the regular formation Borzois, which is the only plural cited in most dictionaries. However, the Borzoi Club of America and the Borzoi Club UK both prefer Borzoi as the form for both singular and plural forms.

"
19,19,boston_bull,Boston Bull,"The Boston Terrier is a breed of dog originating in the United States of America. This ""American Gentleman"" was accepted in 1893 by the American Kennel Club as a non-sporting breed. Color and markings are important when distinguishing this breed from the AKC standard. They should be either black, brindle or seal with white markings. Boston Terriers are small and compact with a short tail and erect ears. The AKC says they are highly intelligent and very easily trained. They are friendly and can be stubborn at times. The average life span of a Boston Terrier is around 11 to 13 years. They have a short nose, which can often cause breathing problems later in life, which is what leads to a low life expectancy.
The American Kennel Club ranked the Boston Terrier as the 21st most popular breed in 2019.

"
20,20,bouvier_des_flandres,Bouvier Des Flandres,"The Bouvier des Flandres is a herding dog breed originating in Flanders, Belgium. They were originally used for general farm work including cattle droving, sheep herding, and cart pulling, and nowadays as guard dogs and police dogs, as well as being kept as pets. The French name of the breed means, literally, ""Cow Herder of Flanders"", referring to the Flemish origin of the breed. Other names for the breed are Toucheur de Boeuf (cattle driver), Vlaamse Koehond (Flemish cow dog), and Vuilbaard (dirty beard).

"
21,21,boxer,Boxer,"A box (plural: boxes) is a type of container or rectangular prism used for the storage or transportation of its contents. The size of a box may vary, from the very smallest (such as a matchbox) to the size of a large appliance, and can be used for a variety of purposes ranging from the functional to the decorative.
Boxes may be made of a variety of typically durable materials, such as wood and metal, though common non-durable materials include corrugated fiberboard and paperboard. Corrugated metal boxes are commonly used as shipping containers.
Boxes are typically rectangular in shape with a rectangular cross-section, though a box may also have a square, elongated, circular or oval appearance; boxes may also feature sloped or domed top surfaces, or vertical edges, and are not consistently made in a square fashion.
Boxes may be closed and shut with flaps, doors, or a separate lid. They can be secured shut with adhesives, tapes, or more decorative or elaborately functional mechanisms, such as a catch, clasp or lock.

"
22,22,brabancon_griffon,Brabancon Griffon,"The Griffon Bruxellois or  Brussels Griffon is a breed of toy dog, named for their city of origin: Brussels, Belgium. The Griffon Bruxellois may refer to three different breeds, the Griffon Bruxellois, the Griffon Belge and the Petit Brabançon. Identical in standard except for coat and colour differences, in some standards they are considered varieties of the same breed, much like Belgian Shepherd Dogs.

"
23,23,briard,Briard,"The Briard  is an ancient breed of large herding dog, originally from France. The breed became popular after the Paris dog show of 1863, after having been fixed with crosses with the Beauceron and the Barbet.

"
24,24,brittany_spaniel,Brittany Spaniel,"The Brittany is a breed of gun dog bred primarily for bird hunting.  Although it is often referred to as the Brittany Spaniel, the breed's working characteristics are more akin to those of a pointer or setter than a spaniel. Brittanys were developed in  Brittany, a province in northwest France, between the 17th and 19th centuries, becoming officially recognized early in the 20th.

"
25,25,bull_mastiff,Bull Mastiff,"The Bullmastiff is a large-sized breed of domestic dog, with a solid build and a short muzzle. The Bullmastiff is a mastiff type dog, and was originally developed by 19th-century gamekeepers to guard estates. The breed was created by crossing the English Mastiff with the  now extinct Old English Bulldog. It was recognized as a purebred dog by the English Kennel Club in 1924.

"
26,26,cairn,Cairn,"Cairo (  KY-roh; Arabic: القاهرة‎, romanized: al-Qāhirah, pronounced [ælˈqɑːhɪɾɑ] (listen), Coptic: ⲕⲁϩⲓⲣⲏ) is the capital and largest city of Egypt. The Cairo metropolitan area, with a population of 21.3 million, is the largest metropolitan area in the Arab world, the second largest in Africa, and the sixth largest in the world. Cairo is associated with ancient Egypt, as the famous Giza pyramid complex and the ancient city of Memphis are located in its geographical area. Located near the Nile Delta, Cairo was founded in 969 AD during the Fatimid dynasty, but the land composing the present-day city was the site of Ancient National Capitals whose remnants remain visible in parts of Old Cairo. Cairo has long been a centre of the region's political and cultural life, and is titled ""the city of a thousand minarets"" for its preponderance of Islamic architecture. Cairo is considered a World City with a ""Beta +"" classification according to GaWC.Today, the Egyptian capital has the oldest and largest film and music industries in the Arab world, as well as the world's second-oldest institution of higher learning, Al-Azhar University. Many international media, businesses, and organizations have regional headquarters in the city; the Arab League has had its headquarters in Cairo for most of its existence.
With a population of over 9 million spread over 453 km², Cairo is by far the largest city in Egypt. An additional 9.5 million inhabitants live in close proximity to the city. Cairo, like many other megacities, suffers from high levels of pollution and traffic. The Cairo Metro is one of the only two metro systems in Africa (the other being in Algiers, Algeria), and ranks amongst the fifteen busiest in the world, with over 1 billion annual passenger rides. The economy of Cairo was ranked first in the Middle East in 2005, and 43rd globally on Foreign Policy's 2010 Global Cities Index."
27,27,cardigan,Cardigan,No description available.
28,28,chesapeake_bay_retriever,Chesapeake Bay Retriever,"The Chesapeake Bay Retriever is a large-sized breed of dog belonging to the Retriever, Gundog, and Sporting breed groups. The breed was developed in the United States Chesapeake Bay area during the 19th century. Historically used by area market hunters to retrieve waterfowl, pull fishing nets, and rescue fishermen, it is today primarily a family pet and hunting companion. They are often known for their love of water and their ability to hunt.  It is a medium to large sized dog similar in appearance to the Labrador Retriever. The Chesapeake has a wavy coat, rather than the Labrador's smooth coat. They are described as having a bright and happy disposition, courage, willingness to work, alertness, intelligence, and love of water as some of their characteristics."
29,29,chihuahua,Chihuahua,"The Chihuahua ( (listen); Spanish: chihuahueño) is the smallest breed of dog in the world, and is named after the Mexican state of Chihuahua."
30,30,chow,Chow,No description available.
31,31,clumber,Clumber,No description available.
32,32,cocker_spaniel,Cocker Spaniel,"Cocker Spaniels are dogs belonging to two breeds of the spaniel dog type: the American Cocker Spaniel and the English Cocker Spaniel, both of which are commonly called simply Cocker Spaniel in their countries of origin. In the early 20th century, Cocker Spaniels also included small hunting spaniels.
Cocker Spaniels were originally bred as hunting dogs in the United Kingdom, with the term ""cocker"" deriving from their use to hunt the Eurasian woodcock. When the breed was brought to the United States, it was bred to a different standard, which enabled it to specialize in hunting the American woodcock. Further physical changes were bred into the cocker in the United States during the early part of the 20th century.
Spaniels were first mentioned in the 14th century by Gaston III, Count of Foix in his work the Livre de Chasse. The ""cocking"" or ""cocker spaniel"" was a type of field or land spaniel in the 19th century. Prior to 1901, Cocker Spaniels were only separated from Field Spaniels and Springer Spaniels by weight. Two dogs are considered to be the foundation sires of both modern breeds, the English variety are descended from Ch. Obo, while the American breed descends from Obo's son, Ch. Obo II. In the United States, the English Cocker was recognized as separate from the native breed in 1946; in the UK, the American type was recognized as a separate breed in 1970. In addition, a second strain of English Cocker Spaniel, a working strain, is not bred to a standard, but to working ability. Both breeds share similar coat colors and health issues with a few exceptions.

"
33,33,collie,Collie,No description available.
34,34,curly-coated_retriever,Curly-Coated Retriever,"The Curly-coated Retriever (not always hyphenated, and often called the Curly for short) is a breed of dog originally bred in England for upland bird and waterfowl hunting.  It is the tallest of the retrievers and is easily distinguishable by the mass of tight curls covering its body. Curly Coated and Wavy Coated (now known as the Flat-Coated Retriever) were the first two recognised retriever breeds, established as early as 1860.

"
35,35,dandie_dinmont,Dandie Dinmont,"A Dandie Dinmont Terrier is a small Scottish dog breed in the terrier family. The breed has a very long body, short legs, and a distinctive topknot of hair on the head. They are friendly but tough, and are suitable for interaction with older children. There are no breed-specific health concerns, but they can be affected by spinal problems due to their elongated body, and the breed is affected by canine cancer at a higher than average rate.
The breed is named after a fictional character in Sir Walter Scott's novel, Guy Mannering. This character, Dandie Dinmont, is thought to be partly based on James Davidson, who is credited as the originator of the modern breed. Davidson's dogs descended from earlier terrier-owning families, including the Allans of Holystone, Northumberland.
There are three breed clubs in the UK supporting the breed, although it is registered as a Vulnerable Native Breed by the Kennel Club due to its low number of puppy registrations per year.

"
36,36,dhole,Dhole,"Dhol can refer to any one of a number of similar types of double-headed drum widely used, with regional variations, throughout the Indian subcontinent. Its range of distribution in India, Bangladesh and Pakistan primarily includes northern areas such as the Punjab, Haryana, Delhi, Kashmir, Sindh, Assam Valley, Uttarakhand, West Bengal, Odisha, Gujarat, Maharashtra, Konkan, Goa, Karnataka, Rajasthan, Bihar, Jharkhand and Uttar Pradesh. The range stretches westward as far as eastern Afghanistan. A related instrument is the dholak or dholki.
Someone who plays the dhol is known as dholi."
37,37,dingo,Dingo,No description available.
38,38,doberman,Doberman,"The Dobermann, (; German pronunciation: [ˈdoːbɐman]) or Doberman Pinscher in the United States and Canada, is a medium-large breed of domestic dog that was originally developed around 1890 by Karl Friedrich Louis Dobermann, a tax collector from Germany.  The Dobermann has a long muzzle. It stands on its pads and is not usually heavy-footed. Ideally, they have an even and graceful gait. Traditionally, the ears were cropped and posted and the tail was docked. However, in some countries, these procedures are now illegal. Dobermanns have markings on the chest, paws/legs, muzzle, above the eyes, and underneath the tail.
Dobermanns are known to be intelligent, alert, and tenaciously loyal companions and guard dogs. Personality varies a great deal between each individual but, if taken care of and properly trained, they are generally considered to be loving and devoted companions. The Dobermann is driven, strong, and sometimes stubborn. With a consistent approach, they can be easy to train and will learn very quickly.

"
39,39,english_foxhound,English Foxhound,No description available.
40,40,english_setter,English Setter,"The English Setter is a medium-size breed of dog. It is part of the setter group, which includes the red Irish Setters, Irish Red and White Setters, and black-and-tan Gordon Setters. The mainly white body coat is of medium length with long silky fringes on the back of the legs, under the belly and on the tail. The coat features flecks of colour, and the different colour varieties are referred to as belton.
A gentle but at times strong-willed, mischievous gun dog, bred for a mix of endurance and athleticism, it is used to hunt for game such as quail, pheasant and grouse. When working, the dog will hunt methodically seeking the airborne scent of its prey. It is sometimes referred to as the Laverack or Llewellin Setter as these were famous strains of the breed during the major development period in the 19th century. Those from hunting stock are generally of a finer build and with less coat than those bred for show exhibition.
Generally reasonably healthy, they have an average life span of 11 to 12 years. The Kennel Club advises UK breeders to screen for hip dysplasia.

"
41,41,english_springer,English Springer,"The English Springer Spaniel is a breed of gun dog in the Spaniel family traditionally used for flushing and retrieving game. It is an affectionate, excitable breed with a typical lifespan of twelve to fourteen years. They are very similar to the Welsh Springer Spaniel and are descended from the Norfolk or Shropshire Spaniels of the mid-19th century; the breed has diverged into separate show and working lines. The breed suffers from average health complaints. The show-bred version of the breed has been linked to ""rage syndrome"", although the disorder is very rare. It is closely related to the Welsh Springer Spaniel and very closely to the English Cocker Spaniel; less than a century ago, springers and cockers would come from the same litter. The smaller ""cockers"" hunted woodcock while the larger littermates were used to flush, or ""spring"", game. In 1902, The Kennel Club recognized the English Springer Spaniel as a distinct breed. They are used as sniffer dogs on a widespread basis. The term Springer comes from the historic hunting role, where the dog would flush (spring) birds into the air.

"
42,42,entlebucher,Entlebucher,"The Entlebucher Sennenhund or Entlebucher Mountain Dog is a medium-sized herding dog, it is the smallest of the four regional breeds that constitute the Sennenhund dog type. The name Sennenhund refers to people called Senn, herders in the Swiss Alps. Entlebuch is a region in the canton of Lucerne in Switzerland. The breed is also known in English as the Entelbuch Mountain Dog, Entelbucher Cattle Dog,  and similar combinations.

"
43,43,eskimo_dog,Eskimo Dog,"The American Eskimo Dog is a breed of companion dog, originating in Germany. The American Eskimo Dog is a member of the Spitz family. The breed's progenitors were German Spitz, but due to anti-German sentiment during the First World War, it was renamed ""American Eskimo Dog."" Although modern American Eskimo Dogs have been exported as German Spitz Gross (or Mittel, depending on the dog's height), the breeds have diverged and the standards are significantly different. In addition to serving as a watchdog and companion, the American Eskimo Dog also achieved a high degree of popularity in the United States in the 1930s and 1940s as a circus performer.
There are three size varieties of the American Eskimo Dog breed, the toy, the miniature and the standard. They share a common resemblance with Japanese Spitz, Danish Spitz, Volpino Italiano, German Spitz and Samoyed.

"
44,44,flat-coated_retriever,Flat-Coated Retriever,"The Flat-coated Retriever is a gundog breed originating from England. It was developed as a retriever both on land and in the water.

"
45,45,french_bulldog,French Bulldog,"The French Bulldog (French: bouledogue or bouledogue français) is a breed of domestic dog, bred to be companion dogs. The breed is the result of a cross between Toy Bulldogs imported from England, and local ratters in Paris, France, in the 1800s. They are stocky, compact dogs with a friendly, mild-mannered temperament.The breed is popular as a pet: in 2019, they were the second-most popular registered dog in the United Kingdom, and the fourth-most popular AKC-registered dog breed in the United States. They were rated the third-most popular dog in Australia in 2017.  In 2019, in the United Kingdom, the French Bulldog had 375 export pedigrees and a total of 33,661 registered dogs. By comparison, the Labrador Retriever had over 35,000 dogs and the Cocker Spaniel fewer than 22,000.

"
46,46,german_shepherd,German Shepherd,No description available.
47,47,german_short-haired_pointer,German Short-Haired Pointer,"The German Shorthaired Pointer (GSP) is a medium to large sized breed of dog developed in the 19th century in Germany for hunting.
A versatile hunting breed, being an all-purpose gun breed of dog suitable for both land and water, They are streamlined yet powerful with strong legs that make him able to move rapidly and turn quickly. He has moderately long floppy ears set high on the head. Longer, broad, and strong, muzzles allow retrieval of heavier game. The dog's profile should be straight or strongly Roman nosed; any dished appearance to the profile is incorrect. His eyes are generally brown, with darker eyes being desirable; yellow or ""bird of prey"" eyes are a fault. The tail is commonly docked, although this is now prohibited in some countries. In the current breed standard the tail is docked at approximately 40% of its length before it curves. There is no health reason for the dog's tail to be docked. It is mainly for aesthetics. In competition she is penalized if the tail is curved either up or down while the dog is moving. When the GSP is in classic point stance, the tail should be held straight out from the body, forming a line with the pointing head and body. Like all German pointers, GSPs have webbed feet. They are known for going after waterfowl in the water.
The German Shorthaired Pointer is a member of the Sporting Group.In 2016, Nunes-Atkinson the owner, breeder and handler of CJ (3-year-old German Shorthaired Pointer) won the highest honor at the 140th annual Westminster Kennel Club Dog Show.

"
48,48,giant_schnauzer,Giant Schnauzer,"The Giant Schnauzer is a breed of dog developed in the 17th century in Germany. It is the largest of the three breeds of Schnauzer—the other two breeds being the Standard Schnauzer and the Miniature Schnauzer. Numerous breeds were used in its development, including the black Great Dane, the Bouvier des Flandres, and the German Pinscher. Originally bred to assist on farms by driving livestock to market and guarding the farmer's property, the breed eventually moved into the city, where it worked guarding breweries, butchers' shops, stockyards and factories. It was unknown outside of Bavaria until it became popular as a military dog during World War I and World War II.
They have a dense coarse coat that protects them from the weather and from vermin. Giant Schnauzers come in two color patterns: Solid black, and a color known as pepper and salt, with banded hairs of alternating white and black, appearing gray at a distance. Where legal, they are shown with cropped ears and docked tails. Like other schnauzers, they have a distinct beard and eyebrows. Today, the Giant Schnauzer participates in numerous dog sports, including Schutzhund. Another sport that the dog excels in is that of nosework. Due to its alert nature, the dog is also used in police work.

"
49,49,golden_retriever,Golden Retriever,"The Golden Retriever is a medium-large gun dog that was bred to retrieve shot waterfowl, such as ducks and upland game birds, during hunting and shooting parties. The name ""retriever"" refers to the breed's ability to retrieve shot game undamaged due to their soft mouth. Golden retrievers have an instinctive love of water, and are easy to train to basic or advanced obedience standards. They are a long-coated breed, with a dense inner coat that provides them with adequate warmth in the outdoors, and an outer coat that lies flat against their bodies and repels water. Golden retrievers are well suited to residency in suburban or country environments. They shed copiously, particularly at the change of seasons, and require fairly regular grooming. The Golden Retriever was originally bred in Scotland in the mid-19th century.The breed is a prominent participant in conformation shows for purebred dogs. The Golden Retriever is popular as a disability assistance dog, such as being a guide dog for the blind and a hearing dog for the deaf. In addition, they are trained to be a hunting dog, a detection dog, and a search and rescue participant. The breed's friendly, gentle temperament means it is unsuited to being a professional guard dog, but its temperament has also made it the third-most popular family dog breed (by registration) in the United States and Canada, the fifth-most popular in Brazil and Australia,
and the eighth-most popular in the United Kingdom. Golden Retrievers are rarely choosy eaters, but require ample (two or more hours a day) exercise. The breed is fond of play but also highly trainable.

"
50,50,gordon_setter,Gordon Setter,"The Gordon Setter is a large breed of dog, a member of the setter family that also includes both the better-known Irish Setter and the English Setter. Setter breeds are classified as members of either the Sporting or Gundog Group depending on the national kennel club or council.  The original purpose of the breed was to hunt gamebirds. Their quarry in the United Kingdom, may be partridge or grouse, pheasant, ptarmigan, blackgame, snipe or woodcock: whilst overseas bird dogs are worked on quail, willow grouse, sand grouse, guinea fowl, sagehen, francolin and any other bird that will sit to a dog—that is to say, will attempt to avoid a potential predator by concealment rather than by taking to the wing at the first sign of danger.  It is this combination of a bird that will sit fast in front of a dog that will remain on point that makes bird dog work possible.

"
51,51,great_dane,Great Dane,No description available.
52,52,great_pyrenees,Great Pyrenees,"The Pyrenean Mountain Dog is a large breed of dog used as a livestock guardian dog. It should not be confused with the Pyrenean Mastiff.
As late as 1874 the breed was not completely standardized in appearance, with two major subtypes recorded, the Western and the Eastern. They are related to several other large, white, European livestock guardian dogs (LGD), including the Maremma Sheepdog (Italy), the Kuvasz (Hungary), the Akbash (Turkey) and the Polish Tatra Sheepdog or Polski Owczarek Podhalański, and somewhat less closely to the Newfoundland and the St. Bernard. According to the Great Pyrenees Club of America, the Pyrenean Mountain Dog is naturally nocturnal and aggressive with any predators that may harm its flock.  However, the breed can typically be trusted with small, young and helpless animals of any kind due to its natural guardian instinct.The Pyrenean Mountain Dog breed experienced a dramatic falloff in the number of U.S. AKC breed registrations from 2000 to 2010. The breed was ranked at No. 45 in 2000 but by 2010 had dropped to No. 71. In 2013 the breed was ranked No. 69. Other large breeds in the same working group classification, the Newfoundland and the St. Bernard, have fared far better in maintaining their breed rankings, being ranked No. 44 and No. 45, respectively, in 2010.

"
